cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p25
cty13281,"Towns County, GA",
cty13283,"Treutlen County, GA",
cty13301,"Warren County, GA",
cty13315,"Wilcox County, GA",
cty13319,"Wilkinson County, GA",
cty16007,"Bear Lake County, ID",
cty16029,"Caribou County, ID",
cty16035,"Clearwater County, ID",
cty16077,"Power County, ID",33292.953
cty16065,"Madison County, ID",33008.34
cty17063,"Grundy County, IL",32781.223
cty16079,"Shoshone County, ID",32273.771
cty17027,"Clinton County, IL",31873.381
cty17011,"Bureau County, IL",31605.545
cty17043,"DuPage County, IL",31597.693
cty17053,"Ford County, IL",31328.303
cty16059,"Lemhi County, ID",31127.352
cty16073,"Owyhee County, ID",31096.553
cty17079,"Jasper County, IL",31035.75
cty16057,"Latah County, ID",30802.168
cty17067,"Hancock County, IL",30672.32
cty16051,"Jefferson County, ID",30279.707
cty17041,"Douglas County, IL",30211.309
cty17037,"DeKalb County, IL",29999.781
cty17051,"Fayette County, IL",29932.781
cty17015,"Carroll County, IL",29918.914
cty17025,"Clay County, IL",29826.063
cty17073,"Henry County, IL",29822.283
cty16087,"Washington County, ID",29586.828
cty17035,"Cumberland County, IL",29416.695
cty16053,"Jerome County, ID",29350.859
cty17017,"Cass County, IL",29321.535
cty17049,"Effingham County, IL",29302.604
cty16067,"Minidoka County, ID",29111.262
cty17061,"Greene County, IL",28922.971
cty16083,"Twin Falls County, ID",28823.295
cty16055,"Kootenai County, ID",27657.797
cty16069,"Nez Perce County, ID",27606.648
cty16071,"Oneida County, ID",
cty17005,"Bond County, IL",29140.701
cty17075,"Iroquois County, IL",28874.066
cty17007,"Boone County, IL",28435.713
cty17023,"Clark County, IL",28394.059
cty17021,"Christian County, IL",28197.223
cty17033,"Crawford County, IL",28166.311
cty17039,"De Witt County, IL",27934.9
cty17001,"Adams County, IL",27628.498
cty17057,"Fulton County, IL",27598.967
cty17045,"Edgar County, IL",27454.355
cty17055,"Franklin County, IL",26616.07
cty17019,"Champaign County, IL",26165.322
cty16075,"Payette County, ID",25579.205
cty17081,"Jefferson County, IL",25389.717
cty17029,"Coles County, IL",24878.635
cty17031,"Cook County, IL",24799.646
cty17077,"Jackson County, IL",23986.371
cty17003,"Alexander County, IL",18340.572
cty17047,"Edwards County, IL",
cty17065,"Hamilton County, IL",
cty17133,"Monroe County, IL",36433.52
cty17157,"Randolph County, IL",32976.715
cty17093,"Kendall County, IL",32922.844
cty17131,"Mercer County, IL",32901.738
cty17085,"Jo Daviess County, IL",32486.727
cty17139,"Moultrie County, IL",32441.826
cty17149,"Pike County, IL",31898.51
cty17083,"Jersey County, IL",31498.443
cty17189,"Washington County, IL",31380.332
cty17111,"McHenry County, IL",31326.457
cty17173,"Shelby County, IL",31154.629
cty17141,"Ogle County, IL",30771.754
cty17099,"LaSalle County, IL",30509.051
cty17147,"Piatt County, IL",30490.602
cty17135,"Montgomery County, IL",29982.875
cty17117,"Macoupin County, IL",29923.379
cty17165,"Saline County, IL",29528.785
cty17103,"Lee County, IL",29239.861
cty17105,"Livingston County, IL",29209.471
cty17185,"Wabash County, IL",29077.176
cty17179,"Tazewell County, IL",28927.494
cty17109,"McDonough County, IL",28408.301
cty17137,"Morgan County, IL",28329.791
cty17181,"Union County, IL",28198.578
cty17123,"Marshall County, IL",27859.248
cty17089,"Kane County, IL",27611.973
cty17097,"Lake County, IL",27603.094
cty17087,"Johnson County, IL",27523.248
cty17101,"Lawrence County, IL",27283.684
cty17159,"Richland County, IL",27278.486
cty17161,"Rock Island County, IL",26970.658
cty17119,"Madison County, IL",26701.533
cty17091,"Kankakee County, IL",26474.709
cty17107,"Logan County, IL",26174.756
cty17187,"Warren County, IL",26104.375
cty17127,"Massac County, IL",26066.08
cty17095,"Knox County, IL",25857.234
cty17125,"Mason County, IL",25804.555
cty17129,"Menard County, IL",25780.438
