cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p100
cty17001,"Adams County, IL",40946.836
cty17049,"Effingham County, IL",40711.418
cty17031,"Cook County, IL",40124.848
cty17057,"Fulton County, IL",39589.121
cty17037,"DeKalb County, IL",39522.383
cty17041,"Douglas County, IL",39431.258
cty17063,"Grundy County, IL",39251.133
cty17075,"Iroquois County, IL",39139.953
cty17073,"Henry County, IL",38932.754
cty17039,"De Witt County, IL",38797.473
cty17051,"Fayette County, IL",38719.227
cty17067,"Hancock County, IL",38315.141
cty17053,"Ford County, IL",38313.254
cty17019,"Champaign County, IL",37946.824
cty17015,"Carroll County, IL",36868.113
cty17005,"Bond County, IL",36701
cty17081,"Jefferson County, IL",36606.992
cty17055,"Franklin County, IL",36491.926
cty17029,"Coles County, IL",35766.879
cty17077,"Jackson County, IL",34967.125
cty17045,"Edgar County, IL",34900.051
cty17007,"Boone County, IL",34600.637
cty16069,"Nez Perce County, ID",32855.688
cty17033,"Crawford County, IL",32608.717
cty16055,"Kootenai County, ID",31871.707
cty16075,"Payette County, ID",31281.791
cty16053,"Jerome County, ID",30504.637
cty16057,"Latah County, ID",30117.414
cty16083,"Twin Falls County, ID",29648.307
cty16067,"Minidoka County, ID",26324.248
cty16051,"Jefferson County, ID",15600.084
cty16059,"Lemhi County, ID",
cty16065,"Madison County, ID",16871.332
cty16071,"Oneida County, ID",
cty16073,"Owyhee County, ID",
cty16077,"Power County, ID",
cty16079,"Shoshone County, ID",
cty16087,"Washington County, ID",
cty17003,"Alexander County, IL",
cty17017,"Cass County, IL",
cty17025,"Clay County, IL",
cty17035,"Cumberland County, IL",
cty17047,"Edwards County, IL",
cty17061,"Greene County, IL",
cty17065,"Hamilton County, IL",
cty17079,"Jasper County, IL",
cty17189,"Washington County, IL",49902.633
cty17173,"Shelby County, IL",42191.82
cty17187,"Warren County, IL",41966.75
cty17095,"Knox County, IL",40900.93
cty17083,"Jersey County, IL",40841.648
cty17085,"Jo Daviess County, IL",34229.66
cty17087,"Johnson County, IL",
cty17131,"Mercer County, IL",42309.203
cty17109,"McDonough County, IL",41679.414
cty17159,"Richland County, IL",41499.074
cty17097,"Lake County, IL",41494.117
cty17157,"Randolph County, IL",41192.73
cty17117,"Macoupin County, IL",40992.547
cty17107,"Logan County, IL",40327.738
cty17163,"St. Clair County, IL",40016.047
cty17113,"McLean County, IL",39930.809
cty17115,"Macon County, IL",39924.109
cty17135,"Montgomery County, IL",39869.828
cty17129,"Menard County, IL",39572.734
cty17125,"Mason County, IL",39365.055
cty17093,"Kendall County, IL",39339.695
cty17147,"Piatt County, IL",39234.633
cty17143,"Peoria County, IL",39114.563
cty17089,"Kane County, IL",38923.426
cty17103,"Lee County, IL",38916.484
cty17105,"Livingston County, IL",38857.926
cty17099,"LaSalle County, IL",38602.703
cty17167,"Sangamon County, IL",38509.469
cty17161,"Rock Island County, IL",37946.504
cty17091,"Kankakee County, IL",37932.359
cty17101,"Lawrence County, IL",
cty17137,"Morgan County, IL",38423.996
cty17111,"McHenry County, IL",38204.621
cty17133,"Monroe County, IL",37979.383
cty17177,"Stephenson County, IL",37769.93
cty17141,"Ogle County, IL",37713.258
cty17179,"Tazewell County, IL",36910.758
cty17183,"Vermilion County, IL",36852.266
cty17119,"Madison County, IL",36835.328
cty17121,"Marion County, IL",36774.074
cty17123,"Marshall County, IL",36422.242
cty17127,"Massac County, IL",
cty17145,"Perry County, IL",34814.297
cty17139,"Moultrie County, IL",33738.594
cty17149,"Pike County, IL",
cty17153,"Pulaski County, IL",
cty17165,"Saline County, IL",34260.773
cty17169,"Schuyler County, IL",
cty17171,"Scott County, IL",
cty17181,"Union County, IL",
cty17185,"Wabash County, IL",
cty17191,"Wayne County, IL",
cty17193,"White County, IL",
cty18037,"Dubois County, IN",44457.801
cty18075,"Jay County, IN",42026.469
cty18083,"Knox County, IN",42006.074
cty18077,"Jefferson County, IN",41746.488
cty18021,"Clay County, IN",40873.094
cty18043,"Floyd County, IN",40000.492
cty18031,"Decatur County, IN",39679.586
cty18005,"Bartholomew County, IN",39131.945
cty18047,"Franklin County, IN",39099.594
cty18055,"Greene County, IN",38785.797
cty18057,"Hamilton County, IN",38778.168
cty18063,"Hendricks County, IN",38756.918
cty18027,"Daviess County, IN",38748.625
cty18001,"Adams County, IN",38725.59
cty17197,"Will County, IL",38545.016
cty18011,"Boone County, IN",38239.582
cty18033,"DeKalb County, IN",37790.645
cty18051,"Gibson County, IN",37707.633
cty18061,"Harrison County, IN",37630.758
cty18017,"Cass County, IN",37628.855
cty18049,"Fulton County, IN",37619.688
cty18029,"Dearborn County, IN",37510.379
cty18059,"Hancock County, IN",37476.703
cty18045,"Fountain County, IN",37389.418
cty17199,"Williamson County, IL",37206.449
cty18019,"Clark County, IN",37131.082
cty18081,"Johnson County, IN",37064.059
cty17201,"Winnebago County, IL",36748.563
cty18085,"Kosciusko County, IN",36652.391
cty18003,"Allen County, IN",36587.73
cty17195,"Whiteside County, IL",36215.664
cty17203,"Woodford County, IL",35372.199
cty18007,"Benton County, IN",
cty18023,"Clinton County, IN",35886.672
cty18069,"Huntington County, IN",35813.988
cty18035,"Delaware County, IN",35405.762
cty18039,"Elkhart County, IN",35352.844
cty18041,"Fayette County, IN",35057.383
cty18053,"Grant County, IN",34812.383
cty18087,"LaGrange County, IN",34810.711
cty18073,"Jasper County, IN",34742.914
cty18079,"Jennings County, IN",34678.5
cty18065,"Henry County, IN",34321.246
cty18071,"Jackson County, IN",33862.293
cty18009,"Blackford County, IN",33280.828
cty18067,"Howard County, IN",33170.086
cty18015,"Carroll County, IN",33038.078
cty18013,"Brown County, IN",27634.066
cty18025,"Crawford County, IN",
cty19005,"Allamakee County, IA",45049.781
cty18175,"Washington County, IN",44241.961
cty18147,"Spencer County, IN",42169.348
cty18159,"Tipton County, IN",40686.066
cty18123,"Perry County, IN",40584.672
cty18173,"Warrick County, IN",40482.395
cty18129,"Posey County, IN",39657.184
cty18137,"Ripley County, IN",39548.098
cty18179,"Wells County, IN",38891.969
cty18169,"Wabash County, IN",38669.316
cty18163,"Vanderburgh County, IN",38257.738
cty18141,"St. Joseph County, IN",37912.867
cty18119,"Owen County, IN",37897.953
cty18121,"Parke County, IN",37868.422
cty18091,"LaPorte County, IN",37819.27
cty18135,"Randolph County, IN",37614.563
cty18099,"Marshall County, IN",37587.797
cty18149,"Starke County, IN",37585.691
cty18103,"Miami County, IN",37470.832
cty18097,"Marion County, IN",37438.316
cty18165,"Vermillion County, IN",37369.367
cty18145,"Shelby County, IN",37345.102
cty18151,"Steuben County, IN",36940.996
cty18167,"Vigo County, IN",36867.645
cty18113,"Noble County, IN",36790.957
cty18139,"Rush County, IN",36566.387
cty18089,"Lake County, IN",36476.051
cty18157,"Tippecanoe County, IN",36334.332
cty18107,"Montgomery County, IN",36314.809
cty18095,"Madison County, IN",36226.414
cty18181,"White County, IN",36192.195
cty18177,"Wayne County, IN",35597.512
cty18105,"Monroe County, IN",34839.727
cty18109,"Morgan County, IN",34501.664
cty18153,"Sullivan County, IN",34494.574
cty18093,"Lawrence County, IN",34475.605
cty18101,"Martin County, IN",
cty18143,"Scott County, IN",34167.543
cty18111,"Newton County, IN",29596.227
cty18115,"Ohio County, IN",
cty18117,"Orange County, IN",
cty18125,"Pike County, IN",
cty18127,"Porter County, IN",35551.797
cty18131,"Pulaski County, IN",
cty18133,"Putnam County, IN",34590.84
cty18155,"Switzerland County, IN",
cty18161,"Union County, IN",
cty18171,"Warren County, IN",
cty18183,"Whitley County, IN",30288.875
cty19001,"Adair County, IA",
cty19007,"Appanoose County, IA",
cty19009,"Audubon County, IA",
cty19021,"Buena Vista County, IA",43876.391
cty19083,"Hardin County, IA",43617.984
cty19035,"Cherokee County, IA",42983.934
cty19041,"Clay County, IA",42928.391
cty19067,"Floyd County, IA",42426.504
cty19047,"Crawford County, IA",42015.105
cty19059,"Dickinson County, IA",41218.863
cty19109,"Kossuth County, IA",41172.551
cty19019,"Buchanan County, IA",40809.324
cty19079,"Hamilton County, IA",40798.301
cty19061,"Dubuque County, IA",40777.332
cty19027,"Carroll County, IA",40709.059
cty19031,"Cedar County, IA",40520.086
cty19037,"Chickasaw County, IA",40462.09
cty19033,"Cerro Gordo County, IA",40331.359
cty19085,"Harrison County, IA",40256.789
cty19055,"Delaware County, IA",40028.387
cty19029,"Cass County, IA",39844.906
