cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p75
cty18113,"Noble County, IN",36317.949
cty18121,"Parke County, IN",36300.93
cty18151,"Steuben County, IN",36245.398
cty18157,"Tippecanoe County, IN",36208.598
cty18139,"Rush County, IN",36134.863
cty18175,"Washington County, IN",36019.668
cty18167,"Vigo County, IN",35755.98
cty18091,"LaPorte County, IN",35658.125
cty18119,"Owen County, IN",35273.301
cty18093,"Lawrence County, IN",34995.809
cty18133,"Putnam County, IN",34717.766
cty18103,"Miami County, IN",34681.645
cty18177,"Wayne County, IN",34358.254
cty18097,"Marion County, IN",34286.316
cty18095,"Madison County, IN",33415.91
cty18041,"Fayette County, IN",32707.734
cty18105,"Monroe County, IN",32685.758
cty18067,"Howard County, IN",31548.113
cty18115,"Ohio County, IN",
cty18143,"Scott County, IN",32781
cty18155,"Switzerland County, IN",
