cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p1
cty13059,"Clarke County, GA",16441.248
cty13119,"Franklin County, GA",16404.83
cty13121,"Fulton County, GA",16107.998
cty13139,"Hall County, GA",16094.954
cty13073,"Columbia County, GA",16033.323
cty13051,"Chatham County, GA",15932.875
cty13105,"Elbert County, GA",15717.025
cty13053,"Chattahoochee County, GA",15165.759
cty13107,"Emanuel County, GA",15096.759
cty13063,"Clayton County, GA",14995.703
cty13077,"Coweta County, GA",14994.712
cty13127,"Glynn County, GA",14975.12
cty13097,"Douglas County, GA",14383.034
cty13131,"Grady County, GA",14354.985
cty13137,"Habersham County, GA",13843.78
cty13103,"Effingham County, GA",13689.244
cty13081,"Crisp County, GA",13510.006
cty13071,"Colquitt County, GA",13508.255
cty13115,"Floyd County, GA",12946.799
cty13095,"Dougherty County, GA",12293.382
cty13055,"Chattooga County, GA",7126.4375
cty13065,"Clinch County, GA",
cty13069,"Coffee County, GA",13179.478
cty13133,"Greene County, GA",12178.514
cty13145,"Harris County, GA",12018.409
cty13129,"Gordon County, GA",9998.3096
cty13075,"Cook County, GA",9883.1025
cty13079,"Crawford County, GA",
cty13083,"Dade County, GA",
cty13085,"Dawson County, GA",
cty13087,"Decatur County, GA",12429.278
cty13093,"Dooly County, GA",
cty13099,"Early County, GA",
cty13109,"Evans County, GA",
cty13111,"Fannin County, GA",
cty13123,"Gilmer County, GA",11198.732
cty13141,"Hancock County, GA",
cty13143,"Haralson County, GA",7528.4746
cty13149,"Heard County, GA",
cty13153,"Houston County, GA",14849.921
cty13151,"Henry County, GA",13737.254
cty13155,"Irwin County, GA",
cty13157,"Jackson County, GA",13254.973
cty13159,"Jasper County, GA",
cty13161,"Jeff Davis County, GA",
cty13163,"Jefferson County, GA",19613.398
cty13165,"Jenkins County, GA",
cty13167,"Johnson County, GA",
cty13219,"Oconee County, GA",19836.953
cty13205,"Mitchell County, GA",17076.723
cty13195,"Madison County, GA",16241.723
cty13233,"Polk County, GA",16196.349
cty13179,"Liberty County, GA",15588.437
cty13237,"Putnam County, GA",15330.213
cty13223,"Paulding County, GA",15302.525
cty13177,"Lee County, GA",15268.341
cty13247,"Rockdale County, GA",15114.288
cty13225,"Peach County, GA",15032.807
cty13169,"Jones County, GA",14964.771
cty13211,"Morgan County, GA",14613.869
cty13215,"Muscogee County, GA",14107.961
cty13189,"McDuffie County, GA",13908.928
cty13245,"Richmond County, GA",13866.054
cty13255,"Spalding County, GA",13320.317
cty13171,"Lamar County, GA",12839.659
cty13173,"Lanier County, GA",
cty13175,"Laurens County, GA",12524.191
cty13181,"Lincoln County, GA",
cty13183,"Long County, GA",
cty13187,"Lumpkin County, GA",18210.84
cty13185,"Lowndes County, GA",13661.315
cty13191,"McIntosh County, GA",
cty13193,"Macon County, GA",
cty13197,"Marion County, GA",
cty13199,"Meriwether County, GA",15147.86
cty13201,"Miller County, GA",
cty13207,"Monroe County, GA",12564.581
cty13209,"Montgomery County, GA",
cty13227,"Pickens County, GA",13987.277
cty13217,"Newton County, GA",12926.848
cty13229,"Pierce County, GA",11506.884
cty13251,"Screven County, GA",11481.753
cty13213,"Murray County, GA",8983.626
cty13221,"Oglethorpe County, GA",
cty13231,"Pike County, GA",
cty13235,"Pulaski County, GA",
cty13241,"Rabun County, GA",
cty13243,"Randolph County, GA",
cty13253,"Seminole County, GA",
cty13267,"Tattnall County, GA",14631.612
cty13261,"Sumter County, GA",12756.438
cty13257,"Stephens County, GA",12703.179
cty13263,"Talbot County, GA",
cty13269,"Taylor County, GA",
cty13271,"Telfair County, GA",
cty13273,"Terrell County, GA",
cty16047,"Gooding County, ID",23718.398
cty13311,"White County, GA",18880.604
cty13303,"Washington County, GA",17115.885
cty13279,"Toombs County, GA",15676.592
cty13275,"Thomas County, GA",14713.725
cty13297,"Walton County, GA",13636.021
cty13285,"Troup County, GA",13249.587
cty13277,"Tift County, GA",12495.402
cty13281,"Towns County, GA",
cty13283,"Treutlen County, GA",
cty13287,"Turner County, GA",
cty13289,"Twiggs County, GA",
cty13291,"Union County, GA",
cty15007,"Kauai County, HI",25576.59
cty15009,"Maui County, HI",24568.746
cty15001,"Hawaii County, HI",23037.252
cty15003,"Honolulu County, HI",20628.561
cty16017,"Bonner County, ID",18852.055
cty16039,"Elmore County, ID",18789.664
cty16001,"Ada County, ID",17313.037
cty16011,"Bingham County, ID",16700.723
cty16005,"Bannock County, ID",16378.15
cty16031,"Cassia County, ID",15630.511
cty16027,"Canyon County, ID",15573.968
cty16019,"Bonneville County, ID",15131.623
cty13321,"Worth County, GA",14465.029
cty13299,"Ware County, GA",13126.365
cty13295,"Walker County, GA",13060.204
cty13313,"Whitfield County, GA",12191.177
cty13305,"Wayne County, GA",12060.123
cty16045,"Gem County, ID",11834.754
cty13293,"Upson County, GA",8832.167
cty13301,"Warren County, GA",
cty13315,"Wilcox County, GA",
cty13317,"Wilkes County, GA",
cty13319,"Wilkinson County, GA",
cty16007,"Bear Lake County, ID",
cty16009,"Benewah County, ID",
cty16021,"Boundary County, ID",
cty16029,"Caribou County, ID",
cty16035,"Clearwater County, ID",
cty16041,"Franklin County, ID",
cty16043,"Fremont County, ID",
cty16049,"Idaho County, ID",
cty17043,"DuPage County, IL",26074.342
cty17027,"Clinton County, IL",21953.918
cty16057,"Latah County, ID",21485.031
cty17031,"Cook County, IL",20985.283
cty16051,"Jefferson County, ID",19026.279
cty16065,"Madison County, ID",18250.252
cty16055,"Kootenai County, ID",18229.174
cty16053,"Jerome County, ID",15982.005
cty16059,"Lemhi County, ID",
cty17033,"Crawford County, IL",19116.703
cty17073,"Henry County, IL",17848.561
cty17067,"Hancock County, IL",17838.328
cty17075,"Iroquois County, IL",17769.516
cty17077,"Jackson County, IL",17690.465
cty17063,"Grundy County, IL",17686.729
cty17049,"Effingham County, IL",17646.918
cty17019,"Champaign County, IL",17576.863
cty17037,"DeKalb County, IL",17282.064
cty17045,"Edgar County, IL",16986.189
cty17061,"Greene County, IL",16752.738
cty16069,"Nez Perce County, ID",16591.105
cty17001,"Adams County, IL",16496.895
cty16067,"Minidoka County, ID",13935.478
cty16071,"Oneida County, ID",
cty16073,"Owyhee County, ID",
cty17041,"Douglas County, IL",15524.049
cty16083,"Twin Falls County, ID",15496.643
cty16075,"Payette County, ID",13886.531
cty16077,"Power County, ID",
cty16079,"Shoshone County, ID",
cty16087,"Washington County, ID",
cty17003,"Alexander County, IL",
cty17005,"Bond County, IL",
cty17011,"Bureau County, IL",19255.813
cty17007,"Boone County, IL",17055.039
cty17015,"Carroll County, IL",
cty17017,"Cass County, IL",
cty17081,"Jefferson County, IL",15067.211
cty17023,"Clark County, IL",14817.42
cty17029,"Coles County, IL",14706.609
cty17025,"Clay County, IL",14674.733
cty17051,"Fayette County, IL",14200.687
cty17057,"Fulton County, IL",13839.006
cty17055,"Franklin County, IL",11998.541
cty17021,"Christian County, IL",10702.147
cty17035,"Cumberland County, IL",
cty17039,"De Witt County, IL",
cty17047,"Edwards County, IL",
cty17053,"Ford County, IL",
cty17065,"Hamilton County, IL",
cty17079,"Jasper County, IL",
cty17085,"Jo Daviess County, IL",28165.818
cty17111,"McHenry County, IL",24325.293
cty17097,"Lake County, IL",21468.174
cty17089,"Kane County, IL",20471.652
cty17157,"Randolph County, IL",20145.504
cty17105,"Livingston County, IL",20020.25
cty17177,"Stephenson County, IL",18970.385
cty17093,"Kendall County, IL",18712.402
cty17091,"Kankakee County, IL",18441.947
cty17145,"Perry County, IL",18254.406
cty17109,"McDonough County, IL",17864.5
cty17103,"Lee County, IL",17756.336
cty17167,"Sangamon County, IL",17479.777
cty17173,"Shelby County, IL",16821.971
cty17163,"St. Clair County, IL",16368.336
cty17143,"Peoria County, IL",16119.65
cty17121,"Marion County, IL",15934.459
cty17119,"Madison County, IL",15696.079
cty17159,"Richland County, IL",15175.787
cty17083,"Jersey County, IL",14943.752
cty17087,"Johnson County, IL",
cty17099,"LaSalle County, IL",17748.383
cty17113,"McLean County, IL",17643.828
cty17101,"Lawrence County, IL",14781.716
cty17107,"Logan County, IL",14743.895
cty17117,"Macoupin County, IL",14440.95
cty17115,"Macon County, IL",13808.898
cty17095,"Knox County, IL",12550.632
cty17123,"Marshall County, IL",
cty17125,"Mason County, IL",
cty17127,"Massac County, IL",
cty17129,"Menard County, IL",
